id,name,slug,sku,price,currency,on_sale,in_stock,permalink,image,categories
3848,Fanta Orange can- 330ml,fanta-orange-can-330ml,SVA-1686063562863,0.89,GBP,FALSE,TRUE,https://fremu.co.uk/product/fanta-orange-can-330ml/,https://fremu.co.uk/wp-content/uploads/2023/10/bz18041.jpg,Category: Drink
3745,Fanta &#8211; 2L,fanta-2l,SVA-1685717068220,2.49,GBP,FALSE,TRUE,https://fremu.co.uk/product/fanta-2l/,https://fremu.co.uk/wp-content/uploads/2023/10/55525281_1-pdpxl.jpg,Category: Drink
3722,Coca-cola can- 330ml,coca-cola-can-330ml,SVA-1685704391948,0.89,GBP,FALSE,TRUE,https://fremu.co.uk/product/coca-cola-can-330ml/,https://fremu.co.uk/wp-content/uploads/2023/10/coca-cola-original-can-330ml.jpg,Category: Drink
3744,Coca Cola &#8211; 1.75L,coca-cola-1-75l,SVA-1685717028681,2.49,GBP,FALSE,FALSE,https://fremu.co.uk/product/coca-cola-1-75l/,https://fremu.co.uk/wp-content/uploads/2023/10/Coca-cola-New-Size.png,Category: Drink
3718,Non Alcoholic Ammstel Malt Drink – 300ml,ammstel-malt-drink-300ml,SVA-1685704011165,0.89,GBP,FALSE,TRUE,https://fremu.co.uk/product/ammstel-malt-drink-300ml/,https://fremu.co.uk/wp-content/uploads/2023/10/ifeoma_d517a25f3c46a71a620db1fa384f9ccff3b7ef90.jpg,Category: Drink
3672,Afrimalt-500ml,afrimalt-500ml,SVA-1685547059629,1.19,GBP,FALSE,TRUE,https://fremu.co.uk/product/afrimalt-500ml/,https://fremu.co.uk/wp-content/uploads/2023/10/Afrimalt-Can-500ml-450x450.jpg.webp,Category: Drink
3688,Royco chicken mchuzi mix-200g,royco-chicken-mchuzi-mix-200g,SVA-1685549815840,4.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/royco-chicken-mchuzi-mix-200g/,https://fremu.co.uk/wp-content/uploads/2023/10/RoycoMchuziChicken.webp,Category: Spices &amp; Seasonings
3682,Supreme Chopped Tomatoes &#8211; 400g,supreme-chopped-tomatoes-400g,SVA-1685549080600,0.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/supreme-chopped-tomatoes-400g/,https://fremu.co.uk/wp-content/uploads/2023/10/supreme-chopped-tomato-tin.webp,Category: Cupboard Food
3702,Pure Ground Chillies Spice-100g,pure-ground-chillies-spice-100g,SVA-1685556896134,3.89,GBP,FALSE,FALSE,https://fremu.co.uk/product/pure-ground-chillies-spice-100g/,https://fremu.co.uk/wp-content/uploads/2023/10/chillies1.png,Category: Spices &amp; Seasonings
3676,Royco beef Mchuzi mix -200g,royco-beef-mchuzi-mix-200g,SVA-1685547834567,4.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/royco-beef-mchuzi-mix-200g/,https://fremu.co.uk/wp-content/uploads/2023/10/IMG_3613_800x.webp,Category: Spices &amp; Seasonings
3743,Mama Pride &#8211; Whole Ogbono &#8211; 70g,mama-pride-whole-ogbono-70g,SVA-1685716946354,1.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/mama-pride-whole-ogbono-70g/,https://fremu.co.uk/wp-content/uploads/2023/10/914svVwA-gL.jpg,Category: Spices &amp; Seasonings
3737,Mama Pride Okazi Leaves-30g,mama-pride-okazi-leaves-30g,SVA-1685708240374,1.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/mama-pride-okazi-leaves-30g/,https://fremu.co.uk/wp-content/uploads/2023/10/SR0006_MotherAfricaOkaziLeaves25g.webp,Category: Spices &amp; Seasonings
3740,Mama Pride &#8211; Bonga Fillets,mama-pride-bonga-fillets,SVA-1685716538387,3.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/mama-pride-bonga-fillets/,https://fremu.co.uk/wp-content/uploads/2023/10/MA-BONGA-Shawa-fillet-100g.jpg,Category: Cupboard Food
3913,Maggi &#8211; liquid seasoning HOT &#8211; 119g,maggi-liquid-seasoning-hot-119g,SVA-1686329701680,1.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/maggi-liquid-seasoning-hot-119g/,https://fremu.co.uk/wp-content/uploads/2023/10/hot-liquid-seasoning_grande.webp,Category: Spices &amp; Seasonings
3663,Lion Curry Powder -25g,lion-curry-powder-25g,SVA-1685545818158,0.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/lion-curry-powder-25g/,https://fremu.co.uk/wp-content/uploads/2023/10/IX2A1292-4.jpg,Category: Spices &amp; Seasonings
3693,Knorr chicken seasoning cubes- 360g,knorr-chicken-seasoning-cubes-360g,SVA-1685550509401,3.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/knorr-chicken-seasoning-cubes-360g/,https://fremu.co.uk/wp-content/uploads/2023/10/cubes.png,Category: Spices &amp; Seasonings
4011,Dried ugu,dried-ugu,SVA-1690895073550,1.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/dried-ugu/,https://fremu.co.uk/wp-content/uploads/2023/10/sr_1746359_large.png,Category: Spices &amp; Seasonings
3931,Akabanga &#8211; 100ml,akabanga,SVA-1686485106427,6.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/akabanga/,https://fremu.co.uk/wp-content/uploads/2022/03/Akabanga-chilli-oil.png,Category: Spices &amp; Seasonings
3739,Ades &#8211; Dried Melon Seeds &#8211; 100g,ades-dried-melon-seeds-100g,SVA-1685716487090,1.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/ades-dried-melon-seeds-100g/,https://fremu.co.uk/wp-content/uploads/2023/10/whole_egusi_100g.jpg,Category: Spices &amp; Seasonings
3736,Abiglobal Stockfish Boneless-200g,abiglobal-stockfish-boneless-200g,SVA-1685708165471,7.29,GBP,FALSE,FALSE,https://fremu.co.uk/product/abiglobal-stockfish-boneless-200g/,https://fremu.co.uk/wp-content/uploads/2023/10/ades-dried-boneless-stockfish-cod-fillet-350g.webp,Category: Cupboard Food
3757,TRS &#8211; Popcorn &#8211; 500g,trs-popcorn-500g,SVA-1685717980143,1.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/trs-popcorn-500g/,https://fremu.co.uk/wp-content/uploads/2023/10/TRSPopcorn20x500g_600x600_crop_center.webp,Category: Cupboard Food
3824,Tropical snack &#8211; plantain chips 12pack &#8211; 420g,tropical-snack-plantain-chips-12pack-35g,SVA-1685724810888,5.5,GBP,FALSE,FALSE,https://fremu.co.uk/product/tropical-snack-plantain-chips-12pack-35g/,https://fremu.co.uk/wp-content/uploads/2023/10/ades-tropical-snack-plantain-chips-420g-pack-of-12.jpg,Snacks &amp; Breads
3710,Tabitha&#8217;s Original Flavour Chin Chin &#8211; 800g,tabithas-original-flavour-chin-chin-800g,SVA-1685558245260,8.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/tabithas-original-flavour-chin-chin-800g/,https://fremu.co.uk/wp-content/uploads/2023/10/94cbff_c28ca41a6c4d487db1fa1c4492b272d6mv2.webp,Snacks &amp; Breads
3707,Tabitha&#8217;s Chin Chin -140g,tabithas-chin-chin-140g,SVA-1685557903638,1.59,GBP,FALSE,TRUE,https://fremu.co.uk/product/tabithas-chin-chin-140g/,https://fremu.co.uk/wp-content/uploads/2023/10/640x640-6.jpg,Snacks &amp; Breads
3880,Medium Eggs -18,medium-eggs-18,SVA-1686075323063,4.2,GBP,FALSE,FALSE,https://fremu.co.uk/product/medium-eggs-18/,https://fremu.co.uk/wp-content/uploads/2023/10/dblwhjbgofcrhvwfia53.jpg,Category: Cupboard Food
